,Unnamed: 0,DATETIMEDATA,PM25,O3,Wind Speed,Temperature,Relative Humidity,Wind Direction,Atmospheric Pressure,RAIN
0,0,2023-12-01 00:00:00,9.1,11.699820251647694,1,26.0,93.0,111.0,757.0,0
1,1,2023-12-01 01:00:00,9.8,11.699820251647694,1,25.0,96.0,117.0,757.0,0
2,2,2023-12-01 02:00:00,12.4,11.699820251647694,1,25.0,97.0,114.0,757.0,2
3,3,2023-12-01 03:00:00,11.6,11.699820251647694,0,25.0,96.0,107.0,756.0,0
4,4,2023-12-01 04:00:00,9.6,11.699820251647694,0,25.0,99.0,116.0,756.0,0
5,5,2023-12-01 05:00:00,10.8,11.699820251647694,0,25.0,99.0,109.0,756.0,0
6,6,2023-12-01 06:00:00,10.8,11.699820251647694,0,25.0,99.0,104.0,757.0,0
7,7,2023-12-01 07:00:00,11.0,11.699820251647694,0,25.0,99.0,106.0,757.0,0
8,8,2023-12-01 08:00:00,15.4,11.699820251647694,0,26.0,93.0,112.0,758.0,0
9,9,2023-12-01 09:00:00,15.0,11.699820251647694,1,28.0,82.0,158.0,758.0,0
10,10,2023-12-01 10:00:00,10.5,11.699820251647694,1,28.0,82.0,135.0,757.0,0
11,11,2023-12-01 11:00:00,8.9,11.699820251647694,1,28.0,81.0,127.0,757.0,0
12,12,2023-12-01 12:00:00,6.6,11.699820251647694,1,28.0,81.0,150.0,756.0,0
13,13,2023-12-01 13:00:00,6.2,11.699820251647694,1,29.0,74.0,205.0,756.0,0
14,14,2023-12-01 14:00:00,10.7,11.699820251647694,1,29.0,76.0,146.0,755.0,0
15,15,2023-12-01 15:00:00,12.2,11.699820251647694,1,29.0,76.0,130.0,755.0,0
16,16,2023-12-01 16:00:00,13.7,11.699820251647694,1,29.0,77.0,165.0,755.0,0
17,17,2023-12-01 17:00:00,10.9,11.699820251647694,1,29.0,76.0,187.0,755.0,0
18,18,2023-12-01 18:00:00,12.0,11.699820251647694,1,28.0,77.0,163.0,756.0,0
19,19,2023-12-01 19:00:00,13.2,11.699820251647694,1,28.0,79.0,169.0,757.0,0
20,20,2023-12-01 20:00:00,16.6,11.699820251647694,1,28.0,80.0,153.0,757.0,0
21,21,2023-12-01 21:00:00,13.8,11.699820251647694,1,27.0,81.0,139.0,758.0,0
22,22,2023-12-01 22:00:00,15.0,11.699820251647694,1,28.0,82.0,123.0,758.0,0
23,23,2023-12-01 23:00:00,10.9,11.699820251647694,2,25.0,91.0,66.0,758.0,5
24,24,2023-12-02 00:00:00,7.1,11.699820251647694,1,24.0,89.0,88.0,757.0,0
25,25,2023-12-02 01:00:00,5.3,11.699820251647694,0,24.0,94.0,110.0,757.0,0
26,26,2023-12-02 02:00:00,9.4,11.699820251647694,0,24.0,97.0,109.0,756.0,0
27,27,2023-12-02 03:00:00,7.5,11.699820251647694,0,24.0,98.0,108.0,756.0,0
28,28,2023-12-02 04:00:00,6.2,11.699820251647694,0,24.0,98.0,110.0,756.0,0
29,29,2023-12-02 05:00:00,7.4,11.699820251647694,0,23.0,98.0,111.0,756.0,0
30,30,2023-12-02 06:00:00,10.7,11.699820251647694,0,24.0,98.0,113.0,757.0,0
31,31,2023-12-02 07:00:00,8.4,11.699820251647694,0,24.0,96.0,110.0,758.0,0
32,32,2023-12-02 08:00:00,13.7,11.699820251647694,0,25.0,93.0,111.0,758.0,0
33,33,2023-12-02 09:00:00,16.9,11.699820251647694,1,27.0,85.0,117.0,759.0,0
34,34,2023-12-02 10:00:00,13.8,11.699820251647694,0,28.0,78.0,100.0,758.0,0
35,35,2023-12-02 11:00:00,11.9,11.699820251647694,1,28.0,78.0,81.0,758.0,1
36,36,2023-12-02 12:00:00,11.8,11.699820251647694,1,27.0,82.0,123.0,757.0,0
37,37,2023-12-02 13:00:00,9.7,11.699820251647694,1,28.0,79.0,118.0,756.0,0
