iter	RMSE
0	5.304881068
1	5.109935748
2	4.932570398
3	4.762314045
4	4.587951605
5	4.437706178
6	4.280376937
7	4.130733796
8	3.979867557
9	3.842648526
10	3.707498675
11	3.571900354
12	3.461714664
13	3.346352194
14	3.229155844
15	3.116853894
16	3.026806169
17	2.928485637
18	2.822593913
19	2.731638535
20	2.63678333
21	2.549007065
22	2.461143162
23	2.382436159
24	2.307818543
25	2.238964581
26	2.164431693
27	2.092991521
28	2.029725865
29	1.965105857
30	1.901212947
31	1.837488418
32	1.775833557
33	1.718611455
34	1.661645454
35	1.607924191
36	1.553096861
37	1.508045174
38	1.460421147
39	1.416281949
40	1.37629145
41	1.337712476
42	1.292925189
43	1.250025564
44	1.211342092
45	1.175331225
46	1.138063315
47	1.105621732
48	1.075091028
49	1.043629323
50	1.015266782
51	0.9845898255
52	0.9547545958
53	0.9266412769
54	0.8994681692
55	0.872968251
56	0.850826999
57	0.8251688859
58	0.8036156957
59	0.7824343434
60	0.760147748
61	0.7394082457
62	0.7209373474
63	0.7001803066
64	0.6817653832
65	0.6660252224
66	0.6476147819
67	0.6311061712
68	0.614950882
69	0.6011000483
70	0.5856685229
71	0.5706196237
72	0.5581618258
73	0.546014215
74	0.5326962226
75	0.52168828
76	0.509173692
77	0.4979503704
78	0.4872199259
79	0.4751590536
80	0.4638300222
81	0.4537879511
82	0.4428754898
83	0.4346410272
84	0.4255389517
85	0.4169777915
86	0.4079616119
87	0.3997627809
88	0.3915483514
89	0.3844046484
90	0.3767118505
91	0.3704946878
92	0.363459006
93	0.3567930769
94	0.3507208508
95	0.3440930709
96	0.3393817477
97	0.3360574473
98	0.3330624566
99	0.3277503158
100	0.3243656376
101	0.3182182342
102	0.3131664666
103	0.307892133
104	0.3034673851
105	0.299603473
106	0.2950594446
107	0.2908450034
108	0.2859898457
109	0.2821930859
110	0.2778401273
111	0.2764505561
112	0.2723543072
113	0.2687022291
114	0.2654706015
115	0.2618767261
116	0.2598816107
117	0.2560753139
118	0.252636114
119	0.2489353687
120	0.2467613674
121	0.2441625822
122	0.2415794405
123	0.2386724739
124	0.2356725602
125	0.2346866489
126	0.2324214148
127	0.2303112342
128	0.2289010775
129	0.227393022
130	0.2247388383
131	0.2221821388
132	0.2204181143
133	0.2184280782
134	0.2170725373
135	0.214642276
136	0.2126779598
137	0.2105282701
138	0.2083644035
139	0.2074936463
140	0.206090384
141	0.2041679567
142	0.2022635962
143	0.2003980385
144	0.1993814218
145	0.1987371431
146	0.1980264051
147	0.1961703777
148	0.1943131592
149	0.1937287054
150	0.19309534
151	0.1914442611
152	0.1908348965
153	0.1902932607
154	0.1889880128
155	0.1877098404
156	0.1862634523
157	0.1855031312
158	0.1842277577
159	0.1832721475
160	0.1827497784
161	0.1822763061
162	0.1817973813
163	0.1813046511
164	0.1800116089
165	0.1786681728
166	0.1775744417
167	0.1762530076
168	0.1757063106
169	0.1752908996
170	0.1746030939
171	0.1740757127
172	0.1736771702
173	0.1732536956
174	0.1719558818
175	0.1715384149
176	0.1711417514
177	0.1706734979
178	0.1703102305
179	0.1699230559
180	0.1695767456
181	0.1692436431
182	0.1687779374
183	0.1676250513
184	0.1670312621
185	0.1660443621
186	0.1650798382
187	0.164704
188	0.1643429652
189	0.1640499827
190	0.1637001754
191	0.1625594782
192	0.1622352646
193	0.1613788601
194	0.1604310034
195	0.1601065899
196	0.1597508887
197	0.1591393759
198	0.1588307777
199	0.158555835
200	0.1575448278
201	0.1572635213
202	0.1569297685
203	0.156674555
204	0.156422213
205	0.1553152123
206	0.1549850568
207	0.1547124133
208	0.1544936409
209	0.1542386381
210	0.1540187142
211	0.1537970103
212	0.1535216491
213	0.1526877766
214	0.1524516256
215	0.1522359137
216	0.1520453872
217	0.1512649113
218	0.1510413085
219	0.1501687702
220	0.1491711123
221	0.1489349947
222	0.1482356725
223	0.1480596626
224	0.1471530483
225	0.1469834295
226	0.1467930697
227	0.1460135292
228	0.1452549596
229	0.1447402013
230	0.1439690456
231	0.143253273
232	0.142679062
233	0.1421039485
234	0.141907041
235	0.1417430545
236	0.1416078603
237	0.1413763503
238	0.1412430329
239	0.1411075674
240	0.1409706128
241	0.1408446801
242	0.1407055148
243	0.1398950382
244	0.1397530626
245	0.139283609
246	0.139164465
247	0.1385215177
248	0.1384073495
249	0.1382993528
250	0.1378368148
251	0.1370624655
252	0.1369586832
253	0.1368570154
254	0.1367574203
255	0.1360098102
256	0.1359195042
257	0.1353237995
258	0.1352291915
259	0.1345715641
260	0.134479745
261	0.1343968137
262	0.1338915557
263	0.1338042539
264	0.1337187394
265	0.1330720067
266	0.1329884733
267	0.1324275204
268	0.1323461793
269	0.1322665062
270	0.1321884679
271	0.1321120315
272	0.1315701973
273	0.1314953609
274	0.1314287009
275	0.1313567956
276	0.130956866
277	0.1304029818
278	0.1303413974
279	0.1300474349
280	0.1299811184
281	0.1299161687
282	0.1298525584
283	0.1293735388
284	0.1293114136
285	0.1286966804
286	0.128635883
287	0.1285763408
288	0.1285180283
289	0.1284609207
290	0.1284049934
291	0.1283460132
292	0.1278064817
293	0.1277527189
294	0.1273432569
295	0.1272912693
296	0.1268916689
297	0.1268406493
298	0.1263149592
299	0.1262648825
300	0.1255946141
301	0.1255417254
302	0.1252537583
303	0.1247605207
304	0.1247092948
305	0.1246592116
306	0.1243036669
307	0.1242582742
308	0.1241918709
309	0.1241286258
310	0.1238338607
311	0.1235053294
312	0.1234596597
313	0.1229734631
314	0.1229287316
315	0.1224906276
316	0.1224437058
317	0.1223980348
318	0.1218322912
319	0.1217714429
320	0.1212175966
321	0.1211601092
322	0.1209153018
323	0.1208762068
324	0.1205842453
325	0.1202702365
326	0.1198695357
327	0.1196048021
328	0.1190897257
329	0.1187498844
330	0.1184515194
331	0.1181589956
332	0.1181059622
333	0.1177997036
334	0.1175070285
335	0.1173519006
336	0.1172004102
337	0.116920916
338	0.1167555615
339	0.1167216988
340	0.11668817
341	0.1165785829
342	0.116312274
343	0.1161795029
344	0.1161492438
345	0.1158204733
346	0.1157914294
347	0.1156418309
348	0.1156065835
349	0.1150803497
350	0.1150480981
351	0.1145138285
352	0.1142351275
353	0.1139584165
354	0.1137374309
355	0.1137091676
356	0.1135878066
357	0.113543779
358	0.1135183678
359	0.1134401416
360	0.1129796222
361	0.1126932968
362	0.112554666
363	0.1122559011
364	0.1118642902
365	0.1117714528
366	0.1115363828
367	0.1110799843
368	0.1110052729
369	0.1109212897
370	0.110726671
371	0.1104231162
372	0.1102065447
373	0.1097990427
374	0.1094969409
375	0.1092500638
376	0.1090083109
377	0.1089774867
378	0.1089427519
379	0.1087152845
380	0.1083047079
381	0.108211783
382	0.1081703779
383	0.1081368591
384	0.1079235717
385	0.1074724553
386	0.1072430916
387	0.1072054921
388	0.1071357054
389	0.1070847485
390	0.1070527122
391	0.1068456911
392	0.1066892402
393	0.1066307203
394	0.1066117142
395	0.1063752848
396	0.1062939067
397	0.1062561456
398	0.1062275674
399	0.1058681527
400	0.1056612957
401	0.1054314498
402	0.1051595076
403	0.1049933594
404	0.104959478
405	0.1048849948
406	0.1045596892
407	0.1043944922
408	0.1043425356
409	0.1043011501
410	0.1041227071
411	0.1039345112
412	0.1037456439
413	0.1035148828
414	0.103208158
415	0.103097401
416	0.1028573965
417	0.1027088999
418	0.1026832489
419	0.1025601998
420	0.102535197
421	0.1023666204
422	0.1023420626
423	0.1021631949
424	0.1020332843
425	0.1020092805
426	0.1018501439
427	0.1017063225
428	0.1012907498
429	0.1010465668
430	0.1008625275
431	0.1007405649
432	0.1004048783
433	0.1000628834
434	0.1000463708
435	0.09983092599
436	0.09960780867
437	0.09953591254
438	0.09943603993
439	0.09937539129
440	0.09917596672
441	0.09913670829
442	0.09902686722
443	0.09882051059
444	0.0986773661
445	0.09859083308
446	0.0983936158
447	0.09830899206
448	0.09827154528
449	0.0978971191
450	0.0978440582
451	0.0975781475
452	0.09723941766
453	0.09704959138
454	0.09682866061
455	0.09678989821
456	0.09668788478
457	0.09660909835
458	0.09639730019
459	0.09618682672
460	0.09598859684
461	0.09584811847
462	0.09561620327
463	0.09548376539
464	0.09536124022
465	0.09534469202
466	0.09515880167
467	0.09497362934
468	0.09479735876
469	0.09464238776
470	0.0944589906
471	0.09426698374
472	0.09409184089
473	0.09407141935
474	0.09397969705
475	0.09373877767
476	0.09357823272
477	0.09346727699
478	0.09316694524
479	0.09313465594
480	0.09298581147
481	0.09275859337
482	0.09261881704
483	0.09248657715
484	0.09242738426
485	0.0922521367
486	0.09203169847
487	0.0919967564
488	0.09181526353
489	0.09177723457
490	0.09175303135
491	0.09158142637
492	0.0914177802
493	0.09125049467
494	0.09106387498
495	0.09090334741
496	0.0908009836
497	0.09062307228
498	0.09057339438
499	0.09022010853
500	0.09007415444
501	0.09001755283
502	0.08985815859
503	0.08980979505
504	0.08953422267
505	0.08936047833
506	0.089090754
507	0.08877050708
508	0.08856660906
509	0.08839535059
